#JCAT	Piece	Name	LDate	TLast	TOp	TDate	TF	Program	Plane	Att	Mvr	Class	Category	Result	Control	Discipline	UNState	UNReg	UNPeriod	UNPerigee	UNApogee	UNInc	DispEpoch	DispPeri	DispApo	DispInc	Comment
# Updated 2025 Apr  7 2348:35																											
S00060	1960 XI 1	[Explorer VIII]	1960 Nov  3	1960 Dec 27	1960 Dec 27	1960 Dec 27	-	ExplorerG	-	-	-	C	SCI	S	-	P/F*	US	A/AC.105/INF.001	112.4	415	2267	49.9	1960 Nov 11	416	2290	49.98	Ionosphere
S00061	1960 OMI	[Discoverer XVII]	1960 Nov 12	1960 Nov 14	1960 Nov 14	1960 Nov 14	-	CORONA Early	-	-	-	D	IMG	S	-	BIO	[US]	-	-	-	-	-	-	0	0	0.00	Life sci package
S00063	1960 PI 1	[Tiros II]	1960 Nov 23	1961 Dec  4	1961 Dec  4	1962 May	-	Tiros A	-	-	-	C	MET	S	-	-	US	A/AC.105/INF.001	98.2	608	742	48.6	1960 Nov 28	608	744	48.57	-
S00065	1960 RHO 1	Third Space Ship	1960 Dec  1	1960 Dec  2	1960 Dec  2	1960 Dec  2 0712	-	Vostok1	-	-	M	C	SS	S	-	BIO	SU	A/AC.105/INF.002	-	187	265	65.0	1960 Dec  1	171	217	65.00	Dogs
S00067	1960 SIG	[Discoverer XVIII]	1960 Dec  7	1960 Dec 10	1960 Dec 10	1960 Dec 10	-	CORONA Early	-	-	-	D	IMG	S	-	BIO	[US]	-	-	-	-	-	-	0	0	0.00	Life sci package
S00068	1960 TAU	[Discoverer XIX]	1960 Dec 20	1960 Dec 25	1960 Dec 25	1960 Dec 25	-	CORONA Early	-	-	-	D	IMG	S	-	-	[US]	-	-	-	-	-	-	0	0	0.00	-
S00070	1961 ALP 1	[Samos II]	1961 Jan 31	1961 Feb  2	1961 Feb  2	1961 Feb  2	-	SAMOS F-1	-	-	-	D	SIG	S	-	-	US	A/AC.105/INF.001	94.9	474	545	97.4	1961 Feb  7	474	553	97.40	-
S00071	1961 BET 1	Heavy Sputnik	1961 Feb  4	1961 Feb  4?	1961 Feb  4?	1961 Feb  4?	-	MV	-	-	-	C	PLAN	F	-	PL	SU	A/AC.105/INF.002	-	223	328	65.0	-	0	0	0.00	"Venus probe, failed"
S00079	1961 ALP 2	-	1961 Jan 31	1961 Mar	1961 Mar	1961 Mar	-	SAMOS E-1	-	-	-	D	IMG	S	-	-	US	A/AC.105/INF.001	94.9	474	542	97.4	-	0	0	0.00	-
S00080	1961 GAM 1	Space Rct. to Venus	1961 Feb 12	1961 Feb 27?	1961 Feb 27?	1961 Feb 27?	-	MV	-	-	-	C	PLAN	F	-	PL	SU	A/AC.105/INF.002	-	-	-	-	-	0	0	0.00	Venus probe
S00081	1961 DEL 1	[Explorer IX]	1961 Feb 16	1961 Feb 16	1961 Feb 16	1961 Feb 16	-	Explorer AD	-	-	-	C	SCI	S	-	ATM	US	A/AC.105/INF.001	118.1	750	2449	38.8	1961 Feb 24	635	2581	38.86	Air density study
S00083	1961 EPS 1	[Discoverer XX]	1961 Feb 17	1961 Feb 21	1961 Feb 21	1961 Feb 21	-	CORONA ARGON	-	-	-	D	IMG	S	-	-	US	A/AC.105/INF.001	92.8	268	545	80.8	-	0	0	0.00	-
